,origin,destination,startdate,deptime,arrtime,stops,duration,layovers,airline,currency,price,url
99,HEL,LON,2023-11-30,3:45 pm , 9:15 pm,2,7h 30m,170,"Norwegian, easyJet",USD,163,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
100,HEL,LON,2023-11-30,10:45 am , 6:40 pm,1,9h 55m,285,"Ryanair, ITA Airways",USD,168,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
101,HEL,LON,2023-11-30,12:45 pm , 7:35 pm,1,8h 50m,235,Lufthansa,USD,172,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
102,HEL,LON,2023-11-30,8:40 am , 6:50 pm,1,12h 10m,500,"airBaltic, British Airways",USD,115,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
103,HEL,LON,2023-11-30,7:40 am , 5:55 pm,1,12h 15m,505,"Norwegian, Scandinavian Airlines",USD,114,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
104,HEL,LON,2023-11-30,12:35 pm , 4:20 pm,1,5h 45m,130,"Finnair, Norwegian",USD,198,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
105,HEL,LON,2023-11-30,8:15 am , 2:50 pm,1,8h 35m,290,"Finnair, easyJet",USD,163,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
106,HEL,LON,2023-11-30,3:30 pm , 9:15 pm,2,7h 45m,190,"airBaltic, easyJet",USD,173,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
107,HEL,LON,2023-11-30,6:30 am , 1:35 pm,1,9h 05m,315,"Scandinavian Airlines, British Airways",USD,165,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
108,HEL,LON,2023-11-30,7:05 am , 3:20 pm,1,10h 15m,390,"Finnair, Ryanair",USD,145,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
109,HEL,LON,2023-11-30,10:45 am , 8:40 pm,2,11h 55m,280,"Ryanair, British Airways",USD,122,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
110,HEL,LON,2023-11-30,7:25 am , 12:20 pm,1,6h 55m,190,CitizenPlane,USD,226,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
111,HEL,LON,2023-11-30,1:15 pm , 9:15 pm,2,10h 00m,320,"Scandinavian Airlines, easyJet",USD,152,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
112,HEL,LON,2023-11-30,1:30 pm , 9:20 pm,1,9h 50m,365,Scandinavian Airlines,USD,175,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
113,HEL,LON,2023-11-30,10:45 am , 9:35 pm,2,12h 50m,330,"Ryanair, British Airways",USD,117,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
114,HEL,LON,2023-11-30,7:05 am , 2:45 pm,1,9h 40m,305,Lufthansa,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
115,HEL,LON,2023-11-30,2:00 pm , 5:05 pm,1,5h 05m,45,Lufthansa,USD,238,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
116,HEL,LON,2023-11-30,9:20 pm , 7:10 am+1,2,11h 50m,426,"airBaltic, Wizz Air",USD,150,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
117,HEL,LON,2023-11-30,12:45 pm , 9:00 pm,1,10h 15m,320,Lufthansa,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
118,HEL,LON,2023-11-30,11:45 am , 7:05 pm,1,9h 20m,295,"Finnair, Wizz Air",USD,174,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
119,HEL,LON,2023-11-30,6:30 am , 1:00 pm,2,8h 30m,190,SWISS,USD,230,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
120,HEL,LON,2023-11-30,10:15 am , 4:20 pm,1,8h 05m,265,CitizenPlane,USD,229,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
121,HEL,LON,2023-11-30,7:00 am , 3:50 pm,1,10h 50m,360,Lufthansa,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
122,HEL,LON,2023-11-30,8:40 am , 5:30 pm,2,10h 50m,305,"airBaltic, British Airways",USD,162,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
123,HEL,LON,2023-11-30,8:00 am , 5:20 pm,1,11h 20m,370,"Finnair, easyJet",USD,159,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
124,HEL,LON,2023-11-30,6:30 am , 4:20 pm,2,11h 50m,380,SWISS,USD,198,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
125,HEL,LON,2023-11-30,5:20 am , 10:20 am,2,7h 00m,130,"airBaltic, Lufthansa",USD,233,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
126,HEL,LON,2023-11-30,7:05 am , 3:45 pm,1,10h 40m,365,Lufthansa,USD,186,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
127,HEL,LON,2023-11-30,1:30 pm , 5:40 pm,2,6h 10m,85,Lufthansa,USD,275,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
128,HEL,LON,2023-11-30,8:40 am , 6:35 pm,2,11h 55m,365,"airBaltic, British Airways",USD,156,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
129,HEL,LON,2023-11-30,5:20 am , 1:35 pm,2,10h 15m,340,"airBaltic, British Airways",USD,159,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
130,HEL,LON,2023-11-30,5:20 am , 12:30 pm,2,9h 10m,180,"airBaltic, Eurostar",USD,196,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
131,HEL,LON,2023-11-30,8:15 am , 6:00 pm,1,11h 45m,475,"Finnair, easyJet",USD,163,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
132,HEL,LON,2023-11-30,6:30 am , 5:05 pm,2,12h 35m,435,SWISS,USD,198,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
133,HEL,LON,2023-11-30,6:30 am , 4:15 pm,2,11h 45m,440,"Scandinavian Airlines, easyJet",USD,162,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
134,HEL,LON,2023-11-30,8:15 am , 1:20 pm,1,7h 05m,195,CitizenPlane,USD,260,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
